,id,superficie,fecha,lat,lng,latlng_explicit,idcomunidad,idprovincia,idmunicipio,municipio,causa,causa_supuesta,causa_desc,muertos,heridos,time_ctrl,time_ext,personal,medios,gastos,perdidas,year,month,Provincias,class_per_time,class_per_trimester,geometry,index_right
31110,2005200008,2.0,2005-03-19,43.291032,-1.929057,1,1,20,903,ASTIGARRAGA,5,,0,,,280,330,10,1,,6497.0,2005,3,Gipuzkoa,Menos_de_24h,1,POINT (-1.929057 43.291032),19
31118,2005200024,3.0,2005-06-22,42.961777,-2.179196,1,1,20,15,ATAUN,5,,0,,,200,440,19,5,,11633.0,2005,6,Gipuzkoa,Menos_de_24h,2,POINT (-2.179196 42.961777),19
31119,2005200029,1.0,2005-06-05,43.301984,-2.050615,1,1,20,69,DONOSTIA-SAN SEBASTIÁN,5,,0,,,135,350,13,1,,,2005,6,Gipuzkoa,Menos_de_24h,2,POINT (-2.050615 43.301984),19
31121,2005200032,2.08,2005-06-27,43.076871,-2.513591,1,1,20,55,ARRASATE/MONDRAGÓN,5,,0,,,327,660,25,2,,10447.0,2005,6,Gipuzkoa,Menos_de_24h,2,POINT (-2.513591 43.076871),19
39764,2006200001,1.6,2006-03-15,42.995087,-2.415285,1,1,20,59,OÑATI,5,,0,,,190,200,20,1,,,2006,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.415285 42.995087),19
39765,2006200002,1.5,2006-03-16,42.970758,-2.446835,1,1,20,59,OÑATI,5,,0,,,210,360,1,0,,,2006,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.446835 42.970758),19
47890,2008200004,1.25,2008-02-09,42.969224,-2.440521,1,1,20,59,OÑATI,5,,0,,,180,300,14,0,,,2008,2,Gipuzkoa,Menos_de_24h,1,POINT (-2.440521 42.969224),19
52451,2009200007,1.25,2009-03-21,43.169023,-2.382294,1,1,20,65,SORALUZE/PLASENCIA DE ARMAS,5,,0,,,149,288,10,1,,5361.0,2009,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.382294 43.169023),19
52457,2009200026,1.6,2009-09-14,42.998197,-2.439461,1,1,20,59,OÑATI,5,,0,,,140,300,29,2,,76.0,2009,9,Gipuzkoa,Menos_de_24h,3,POINT (-2.439461 42.998197),19
57937,2010200031,2.5,2010-06-04,42.970378,-2.48695,1,1,20,34,ESKORIATZA,5,,0,,,370,490,6,0,,,2010,6,Gipuzkoa,Menos_de_24h,2,POINT (-2.48695 42.970378),19
57941,2010200038,14.5,2010-09-03,43.204708,-2.479845,1,1,20,30,EIBAR,5,,0,,,289,570,65,5,,2547.0,2010,9,Gipuzkoa,Menos_de_24h,3,POINT (-2.479845 43.204708),19
67850,2012200013,1.7,2012-03-29,43.061772,-2.103994,1,1,20,1,ABALTZISKETA,5,,0,,,92,155,18,1,,15840.0,2012,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.103994 43.061772),19
67851,2012200015,1.65,2012-04-01,43.269759,-1.823271,1,1,20,63,OIARTZUN,5,,0,,,95,115,5,0,,,2012,4,Gipuzkoa,Menos_de_24h,2,POINT (-1.823271 43.269759),19
67854,2012200029,1.74,2012-09-22,42.979443,-2.562068,1,1,20,68,LEINTZ-GATZAGA,5,,0,,,125,185,6,0,,,2012,9,Gipuzkoa,Menos_de_24h,3,POINT (-2.562068 42.979443),19
76018,2014200002,2.5,2014-01-10,43.33343216,-1.87715697,1,1,20,53,LEZO,5,,0,,,135,300,33,2,,12934.0,2014,1,Gipuzkoa,Menos_de_24h,,POINT (-1.87715697 43.33343216),19
79441,2015200029,2.0,2015-12-26,43.20394882,-2.12253378,1,1,20,14,ASTEASU,5,,0,,,325,335,10,3,,,2015,12,Gipuzkoa,Menos_de_24h,4,POINT (-2.12253378 43.20394882),19
79443,2015200032,23.5,2015-12-30,43.19847903,-2.00643444,1,1,20,9,ANDOAIN,5,,0,,,435,2595,33,5,,140740.0,2015,12,Gipuzkoa,Entre_1dia_y_1semana,4,POINT (-2.00643444 43.19847903),19
