,id,superficie,fecha,lat,lng,idcomunidad,idprovincia,idmunicipio,municipio,causa,time_ctrl,time_ext,year,month,Provincias,class_per_time,class_per_trimester,geometry,index_right,Y,recursos,Eficiencia,Recursos_ha
0,2001010001,3.7,2001-03-18,42.954656,-2.325719,1,1,13,BARRUNDIA,4,150,180,2001,3,Araba/Álava,Menos_de_24h,1.0,POINT (-2.325719 42.954656),19,1,12,8.108108108108107,3.243243243243243
31108,2005200004,6.0,2005-03-16,43.293391,-1.822803,1,20,63,OIARTZUN,4,240,450,2005,3,Gipuzkoa,Menos_de_24h,1.0,POINT (-1.822803 43.293391),19,1,28,35.0,4.666666666666667
31111,2005200012,2.5,2005-03-31,43.274343,-2.225571,1,20,81,ZUMAIA,2,80,240,2005,3,Gipuzkoa,Menos_de_24h,1.0,POINT (-2.225571 43.274343),19,0,17,64.0,6.8
31113,2005200015,2.23,2005-04-06,43.165843,-2.419785,1,20,74,BERGARA,2,287,452,2005,4,Gipuzkoa,Menos_de_24h,2.0,POINT (-2.419785 43.165843),19,0,13,73.99103139013452,5.829596412556054
31114,2005200016,2.5,2005-04-06,43.024355,-2.291328,1,20,57,MUTILOA,2,91,333,2005,4,Gipuzkoa,Menos_de_24h,2.0,POINT (-2.291328 43.024355),19,0,14,96.8,5.6
31116,2005200019,1.0,2005-05-26,43.055587,-2.082643,1,20,8,AMEZKETA,3,47,65,2005,5,Gipuzkoa,Menos_de_24h,2.0,POINT (-2.082643 43.055587),19,0,10,18.0,10.0
31120,2005200030,1.0,2005-06-05,43.166333,-2.075366,1,20,10,ANOETA,2,140,200,2005,6,Gipuzkoa,Menos_de_24h,2.0,POINT (-2.075366 43.166333),19,0,18,60.0,18.0
31122,2005200035,25.0,2005-07-29,42.998212,-2.110549,1,20,78,ZALDIBIA,4,720,2190,2005,7,Gipuzkoa,Entre_1dia_y_1semana,3.0,POINT (-2.110549 42.998212),19,1,66,58.8,2.64
31123,2005200037,1.0,2005-08-06,43.279842,-2.056074,1,20,73,USURBIL,4,195,300,2005,8,Gipuzkoa,Menos_de_24h,3.0,POINT (-2.056074 43.279842),19,1,26,105.0,26.0
31127,2005200043,6.3,2005-10-27,43.279738,-2.292413,1,20,29,DEBA,3,360,450,2005,10,Gipuzkoa,Menos_de_24h,4.0,POINT (-2.292413 43.279738),19,0,6,14.285714285714286,0.9523809523809524
39768,2006200024,7.85,2006-11-15,43.220183,-2.23538,1,20,27,ZESTOA,2,225,585,2006,11,Gipuzkoa,Menos_de_24h,4.0,POINT (-2.23538 43.220183),19,0,43,45.85987261146497,5.477707006369427
44463,2007200005,2.2,2007-02-16,43.107398,-2.394701,1,20,11,ANTZUOLA,3,163,308,2007,2,Gipuzkoa,Menos_de_24h,1.0,POINT (-2.394701 43.107398),19,0,18,65.9090909090909,8.181818181818182
44464,2007200008,1.0,2007-03-13,43.299492,-2.359277,1,20,56,MUTRIKU,2,93,234,2007,3,Gipuzkoa,Menos_de_24h,1.0,POINT (-2.359277 43.299492),19,0,10,141.0,10.0
44465,2007200012,4.0,2007-05-10,43.012419,-2.443774,1,20,59,OÑATI,2,265,415,2007,5,Gipuzkoa,Menos_de_24h,2.0,POINT (-2.443774 43.012419),19,0,16,37.5,4.0
47889,2008200001,1.3,2008-01-15,43.256351,-2.112566,1,20,16,AIA,3,90,120,2008,1,Gipuzkoa,Menos_de_24h,,POINT (-2.112566 43.256351),19,0,20,23.076923076923077,15.384615384615383
